generation,idx,cpu_m,mem_mib,replicas,fitness,f1,f2,f3,throughput,p95_latency_s,p99_latency_s,avg_latency_s,success_rate,total_requests,failed_requests,cpu_usage_cores,memory_usage_bytes,cpu_utilization,memory_utilization,cpu_throttling,memory_peak_usage_bytes,status,error,eval_time_s
6,3,650,128,4,0.677740663955684,0.5922897592281815,3.1,-45.924303767415374,45.924303767415374,1.1446912288665771,1.4481112957000732,0.4669211499689865,1.0,4166,0,0.3348365681557963,67792603.42857143,0.5151331817781482,0.5050942557198661,0.5877167254876129,80109568.0,ok,,262.7206492424011
6,4,100,256,4,0.5666685611327207,0.5503762187912815,1.4,-6.140097676058307,6.140097676058307,7.912142515182495,8.670283555984497,3.2686212613350816,0.972972972972973,592,16,0.05433215720755053,63237120.0,0.5433215720755052,0.23557662963867188,0.8088670616060005,78352384.0,ok,,280.67571353912354
6,5,700,384,4,0.6762379332042913,0.3836571597495636,4.3,-48.880892071758936,48.880892071758936,1.1628437042236328,1.4346065521240234,0.43857697218279296,1.0,4424,0,0.3518297294649793,67068050.28571428,0.5026138992356848,0.16656530471075148,0.5703436977543356,79310848.0,ok,,275.71702313423157
6,6,550,256,4,0.677179914881957,0.44791710926228173,3.2,-39.15345212654555,39.15345212654555,1.5457191467285156,1.872485876083374,0.5495794439867597,1.0,3543,0,0.2739916777199845,67241398.85714285,0.49816668676360815,0.2504937308175223,0.5991118064151885,79650816.0,ok,,259.58651852607727
6,7,600,256,4,0.6789652553414314,0.44928106419026326,3.4,-43.114100783523,43.114100783523,1.1923623085021973,1.5248911380767822,0.49803104596260267,1.0,3900,0,0.3105545745237686,67590436.57142857,0.5175909575396144,0.2517939976283482,0.603594477013339,79179776.0,ok,,279.082537651062
6,8,500,256,4,0.6740301713725088,0.46341903777553245,3.0,-35.26546039516515,35.26546039516515,1.6071381568908691,2.014075756072998,0.6102828612122324,1.0,3206,0,0.2485167482633926,67853750.85714285,0.4970334965267852,0.25277491978236605,0.6284829730120024,80089088.0,ok,,268.6478946208954
6,9,650,256,4,0.6788749365684394,0.4365093197601542,3.6,-46.51240719091244,46.51240719091244,1.0850398540496826,1.3821539878845215,0.46042410643823856,1.0,4217,0,0.3163658860555242,66872173.71428572,0.4867167477777295,0.2491182599748884,0.5786155633484334,79028224.0,ok,,255.14089727401733
6,10,700,640,4,0.6770908830602824,0.31577930753304373,5.3,-49.308867731688466,49.308867731688466,1.131014347076416,1.4476618766784668,0.43381001965848626,1.0,4469,0,0.34836802955520224,67770075.42857143,0.49766861365028897,0.10098528180803572,0.5165012420192124,77213696.0,ok,,261.9394817352295
6,11,700,256,3,0.6862327731068077,0.4243123308670159,2.8499999999999996,-37.49208039221703,37.49208039221703,1.3675150871276855,1.5827155113220215,0.5734465035702843,1.0,3417,0,0.3770273085692008,69385849.9047619,0.538610440813144,0.258482433500744,0.5501169713043443,80130048.0,ok,,260.87622237205505
7,0,700,256,3,0.6862327731068077,0.4243123308670159,2.8499999999999996,-37.49208039221703,37.49208039221703,1.3675150871276855,1.5827155113220215,0.5734465035702843,1.0,3417,0,0.3770273085692008,69385849.9047619,0.538610440813144,0.258482433500744,0.5501169713043443,80130048.0,ok,,260.87622237205505
7,1,550,512,3,0.666078622614794,0.4140825913229022,3.1500000000000004,-30.549354825313312,30.549354825313312,1.6678526401519775,1.9397704601287842,0.7063008648174297,1.0,2776,0,0.29907254460607213,68488045.71428572,0.5437682629201311,0.12756892613002233,0.6798421235637732,79630336.0,ok,,269.48904633522034
7,2,400,896,3,0.6634455801286745,0.389463849277746,3.8249999999999997,-22.27428554689495,22.27428554689495,2.190237283706665,2.6361610889434814,0.9700984843203797,1.0,2029,0,0.23077627614953428,67927478.85714285,0.5769406903738357,0.07229987942442602,0.6974370456537063,76562432.0,ok,,248.44843244552612
7,3,700,256,4,0.6828481845373886,0.42678762194239145,3.8,-50.89522040073048,50.89522040073048,0.9944748878479004,1.2652642726898193,0.42099654542219395,1.0,4595,0,0.35819123855498886,66827264.0,0.5117017693642698,0.24895095825195312,0.5665269040410329,77053952.0,ok,,305.4132809638977
7,4,650,256,4,0.6788749365684394,0.4365093197601542,3.6,-46.51240719091244,46.51240719091244,1.0850398540496826,1.3821539878845215,0.46042410643823856,1.0,4217,0,0.3163658860555242,66872173.71428572,0.4867167477777295,0.2491182599748884,0.5786155633484334,79028224.0,ok,,255.14089727401733
7,5,650,128,4,0.677740663955684,0.5922897592281815,3.1,-45.924303767415374,45.924303767415374,1.1446912288665771,1.4481112957000732,0.4669211499689865,1.0,4166,0,0.3348365681557963,67792603.42857143,0.5151331817781482,0.5050942557198661,0.5877167254876129,80109568.0,ok,,262.7206492424011
